__BEGIN__;;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2
Nowe Dębe Wielkie;;06:51;07:04;;|;|;07:23;;07:51;07:51;;08:23;08:51
Wrzosów;o;06:54;07:07;;|;|;07:26;;07:54;07:54;;08:26;08:54
Mińsk Maz.;p;06:58;07:12;;07:20;07:20;07:30;;07:58;07:58;;08:30;08:58
Mińsk Maz.;o;06:59; ;;07:21;07:21;07:31;; ; ;;08:31; 
Mińsk Maz. Anielina;o o;07:02;;;|;|;07:33;;;;;08:33;
Barcząca;;07:05;;;|;|;07:36;;;;;08:36;
Mienia;o o;07:08;;;|;|;07:40;;;;;08:40;
Cegłów;;07:12;;;07:28;07:28;07:43;;;;;08:43;
Mrozy;p;07:16;;;07:32;07:32;07:46;;;;;08:46;
Grodziszcze Maz.;o o; ;;;07:32;07:32;07:47;;;;;08:47;
Grodziszcze Maz.;;;;;|;|;07:51;;;;;08:51;
Sosnowe;o o;;;;|;|;07:55;;;;;08:55;
Koszewnica;;;;;|;|;07:58;;;;;08:58;
Kotuń;o o;;;;07:42;07:42;08:02;;;;;09:02;
Sabinka;;;;;|;|;08:07;;;;;09:07;
Siedlce Zach.;o;;;;07:49;07:49;08:10;;;;;09:10;
Siedlce;p;;;;07:52;07:52;08:13; ;;;;09:13;
Siedlce;o;;;; ; ; ;08:26;;;; ;
Siedlce Wschodnie;o o;;;;;;;08:29;;;;;
Białki Siedleckie;;;;;;;;08:32;;;;;
Kosiorki;o o;;;;;;;08:35;;;;;
Borki Kosy;;;;;;;;08:38;;;;;
Dziewule;o o;;;;;;;08:42;;;;;
Radomyśl;;;;;;;;08:45;;;;;
Krynka Łukowska;o p;;;;;;;08:48;;;;;
Łuków;;;;;;;;08:53;;;;;
__BEGIN__;;R2;R2;R2;11801;R2;R2;R2;R2;R2;R2;11803;19251 CZEREMSZAK
;;19805 (C);93264/5;19859;;93830/1;19861;91314/5;10457;93812/3;19863;;
;;;(D);;;(D);;(D);;(D);;;
;;;Łowicz Główny;;;Błonie;;GRODZISK MAZ.;;Góra Kalwaria;;;
Warszawa Zachodnia;o o;08:05;08:27;08:38;;09:06;09:39;09:54;;10:05;10:39;;
Warszawa Ochota;;08:09;08:31;08:42;;09:10;09:43;09:58;;10:09;10:43;;
Warszawa Śródmieście;o;08:12;08:35;08:46;;09:14;09:46;10:01;;10:12;10:46;;
Warszawa Powiśle;o o;08:15;08:37;08:48;;09:16;09:49;10:04;;10:15;10:49;;
Warszawa Stadion;;08:17;08:40;08:51;;09:19;09:51;10:06;;10:17;10:51;;
Warszawa Wschodnia;p;08:19;08:42;08:53;;09:21;09:53;10:08;;10:19;10:53;; 
Warszawa Wschodnia;o;08:20;08:43;08:54;;09:22;09:54;10:09;;10:20;10:54;;11:03
Warszawa Rembertów;p;08:26;08:50;09:00;;09:28;10:00;10:16;;10:27;11:00;;11:11
Warszawa Rembertów;o;08:27; ;09:01;;09:29;10:01; ;;10:28;11:01;;11:16
W-wa Wesoła;o o;08:31;;09:05;;09:33;10:05;;;10:32;11:05;;|
W-wa Wola Grzybowska;;08:34;;09:08;;09:35;10:08;;;10:34;11:08;;|
Sulejówek;o;08:36;;09:10;;09:38;10:10;;;10:37;11:10;;|
Sulejówek Miłosna;p;08:38;;09:12;;09:40;10:12;;;10:39;11:12;;|
Sulejówek Miłosna;o;08:39;;09:12;;09:40;10:12;;;10:39;11:12;;|
Halinów;o o;08:43;;09:16;;09:44;10:16;;;10:43;11:16;;11:26
Cisie;;08:46;;09:19;;09:47;10:19;;;10:46;11:19;;|
Dębe Wielkie;o o;08:49;;09:21;;09:50;10:21;;;10:49;11:21;;|
Nowe Dębe Wielkie;;08:51;;09:23;;09:52;10:23;;;10:51;11:23;;|
Wrzosów;o;08:54;;09:26;;09:55;10:26;;;10:54;11:26;;|
Mińsk Maz.;p;08:58;;09:30;;09:59;10:30;;;10:58;11:30;;11:36
Mińsk Maz.;o; ;;09:31;; ;10:31;;; ;11:31;;11:38
Mińsk Maz. Anielina;o o;;;09:33;;;10:33;;;;11:33;;11:41
Barcząca;;;;09:36;;;10:36;;;;11:36;;|
Mienia;o o;;;09:40;;;10:40;;;;11:40;;|
Cegłów;;;;09:43;;;10:43;;;;11:43;;11:50
Mrozy;p;;;09:46;;;10:46;;;;11:46;;11:54
Grodziszcze Maz.;o o;;;09:54;;;10:47;;;;11:47;;11:55
Grodziszcze Maz.;;;;09:58;;;10:51;;;;11:51;;|
Sosnowe;o o;;;10:02;;;10:55;;;;11:55;;|
Koszewnica;;;;10:05;;;10:58;;;;11:58;;|
Kotuń;o o;;;10:09;;;11:02;;;;12:02;;12:07
Sabinka;;;;10:14;;;11:07;;;;12:07;;|
Siedlce Zach.;o;;;10:17;;;11:10;;;;12:10;;12:16
Siedlce;p;;;10:20; ;;11:13;; ;;12:13; ;12:20
Siedlce;o;;; ;10:25;; ;;11:35;; ;12:18;12:21
Siedlce Wschodnie;o o;;;;10:28;;;;11:38;;;12:21;
Białki Siedleckie;;;;;10:31;;;;11:41;;;12:24;
Kosiorki;o o;;;;10:34;;;;11:44;;;12:27;
Borki Kosy;;;;;10:37;;;;11:47;;;12:30;
Dziewule;o o;;;;10:41;;;;11:51;;;12:34;
Radomyśl;;;;;10:44;;;;11:54;;;12:37;
Krynka Łukowska;o p;;;;10:47;;;;11:57;;;12:40;
Łuków;;;;;10:52;;;;12:02;;;12:45;
__BEGIN__;;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2
;;19806/7;19865;10459;19809 (D);19867;10461 (D);21626/7;19869;10463;99265;19871;11221 (D)
;;(D);;;;;;(D);;;;;
;;Piaseczno;;;;;;Radom;;;;;
Warszawa Zachodnia;o o;11:05;11:39;;12:05;12:39;;13:20;13:39;;14:20;14:39;14:57
Warszawa Ochota;;11:09;11:43;;12:09;12:43;;13:24;13:43;;14:24;14:43;15:01
Warszawa Śródmieście;o;11:12;11:46;;12:12;12:46;;13:28;13:46;;14:27;14:46;15:05
Warszawa Powiśle;o o;11:15;11:49;;12:15;12:49;;13:30;13:49;;14:30;14:49;15:07
Warszawa Stadion;;11:17;11:51;;12:17;12:51;;13:33;13:51;;14:32;14:51;15:10
Warszawa Wschodnia;p;11:19;11:53;;12:19;12:53;;13:35;13:53;;14:34;14:53;15:12
Warszawa Wschodnia;o;11:20;11:54;;12:20;12:54;;13:36;13:54;;14:35;14:54;15:13
Warszawa Rembertów;p;11:27;12:00;;12:27;13:00;;13:43;14:00;;14:42;15:00;15:20
Warszawa Rembertów;o;11:28;12:01;;12:28;13:01;;13:44;14:01;;14:43;15:01; 
W-wa Wesoła;o o;11:32;12:05;;12:32;13:05;;13:48;14:05;;14:47;15:05;
W-wa Wola Grzybowska;;11:34;12:08;;12:34;13:08;;13:50;14:08;;14:49;15:08;
Sulejówek;o;11:37;12:10;;12:37;13:10;;13:53;14:10;;14:52;15:10;
Sulejówek Miłosna;p;11:39;12:12;;12:39;13:12;;13:55;14:12;;14:54;15:12;
Sulejówek Miłosna;o;11:39;12:12;;12:39;13:12;;13:55;14:12;;14:54;15:12;
Halinów;o o;11:43;12:16;;12:43;13:16;;13:59;14:16;;14:58;15:16;
Cisie;;11:46;12:19;;12:46;13:19;;14:02;14:19;;15:01;15:19;
Dębe Wielkie;o o;11:49;12:21;;12:49;13:21;;14:05;14:21;;15:04;15:21;
Nowe Dębe Wielkie;;11:51;12:23;;12:51;13:23;;14:07;14:23;;15:06;15:23;
Wrzosów;o;11:54;12:26;;12:54;13:26;;14:10;14:26;;15:09;15:26;
Mińsk Maz.;p;11:58;12:30;;12:58;13:30;;14:14;14:30;;15:13;15:30;
Mińsk Maz.;o; ;12:31;; ;13:31;; ;14:31;; ;15:31;
Mińsk Maz. Anielina;o o;;12:33;;;13:33;;;14:33;;;15:33;
Barcząca;;;12:36;;;13:36;;;14:36;;;15:36;
Mienia;o o;;12:40;;;13:40;;;14:40;;;15:40;
Cegłów;;;12:43;;;13:43;;;14:43;;;15:43;
Mrozy;p;;12:46;;;13:46;;;14:46;;;15:46;
Grodziszcze Maz.;o o;;12:47;;;13:47;;;14:47;;;15:47;
Grodziszcze Maz.;;;12:51;;;13:51;;;14:51;;;15:51;
Sosnowe;o o;;12:55;;;13:55;;;14:55;;;15:55;
Koszewnica;;;12:58;;;13:58;;;14:58;;;15:58;
Kotuń;o o;;13:02;;;14:02;;;15:02;;;16:02;
Sabinka;;;13:07;;;14:07;;;15:07;;;16:07;
Siedlce Zach.;o;;13:10;;;14:10;;;15:10;;;16:10;
Siedlce;p;;13:13; ;;14:13; ;;15:13; ;;16:13;
Siedlce;o;; ;13:35;; ;14:35;; ;15:27;; ;
Siedlce Wschodnie;o o;;;13:38;;;14:38;;;15:30;;;
Białki Siedleckie;;;;13:41;;;14:41;;;15:33;;;
Kosiorki;o o;;;13:44;;;14:44;;;15:36;;;
Borki Kosy;;;;13:47;;;14:47;;;15:39;;;
Dziewule;o o;;;13:51;;;14:51;;;15:43;;;
Radomyśl;;;;13:54;;;14:54;;;15:46;;;
Krynka Łukowska;o p;;;13:57;;;14:57;;;15:49;;;
Łuków;;;;14:02;;;15:02;;;15:54;;;
