stacja;latitude;longitude;cnt_arriva;cnt_kd;cnt_km;cnt_kw;cnt_ks;cnt_ic;cnt_pr;cnt_skm_t;cnt_skm_w
Bierutów;50.397778;16.514444;0;0;0;0;0;0;16;0;0
Bierzwnik;53.024444;15.656667;0;0;0;0;0;0;6;0;0
Biesal;53.720278;20.193889;0;0;0;0;0;0;12;0;0
Bieskowice;54.194257;16.887782;0;0;0;0;0;0;8;0;0
Biniew;51.74;17.7925;0;0;0;0;0;0;20;0;0
Biskupice Lubelskie;51.160833;22.9475;0;0;0;0;0;0;26;0;0
Biskupice Wlkp.;52.4617;17.1694;0;0;0;6;0;0;14;0;0
Biskupice k. Kluczborka;51.084224;18.209395;0;0;0;0;0;0;8;0;0
Biskupiec Pomorski;53.489444;19.389444;0;0;0;0;0;0;9;0;0
Biskupnica;53.654997;17.211917;0;0;0;0;0;0;6;0;0
Bi³goraj;50.551733;22.733072;0;0;0;0;0;2;0;0;0
Biñcze;53.660044;17.128458;0;0;0;0;0;0;6;0;0
Blizna;53.902778;23.012778;0;0;0;0;0;0;3;0;0
Bobowa;49.716633;20.957794;0;0;0;0;0;0;12;0;0
Bobowa Miasto;49.708747;20.940392;0;0;0;0;0;0;16;0;0
Bobrowniki;52.2296756;21.0122287;0;0;0;0;0;0;13;0;0
Bobrowo Pomorskie;53.528442;16.077589;0;0;0;0;0;0;7;0;0
Bobry;51.027472;19.403944;0;0;0;0;0;0;25;0;0
Bobrówka;50.049694;22.858361;0;0;0;0;0;0;5;0;0
Bochnia;49.97735;20.432114;0;0;0;0;0;19;30;0;0
Boczów;52.327222;14.948056;0;0;0;0;0;0;8;0;0
Bogaczewo;54.101006;19.577594;0;0;0;0;0;0;12;0;0
Bogaczów;51.843056;15.266667;0;0;0;0;0;0;8;0;0
Bogdaniec;52.689656;15.0807;0;0;0;0;0;0;23;0;0
Bogoniowice Ciê¿kow.;49.795228;20.975769;0;0;0;0;0;0;16;0;0
Boguchwa³a;49.984847;21.934967;0;0;0;0;0;0;4;0;0
Bogumi³owice;50.007628;20.870236;0;0;0;0;0;2;26;0;0
Boguszewo;53.421944;19.001156;20;0;0;0;0;0;0;0;0
Boguszów Gorce;50.750306;16.202;0;2;0;0;0;0;17;0;0
Boguszów Gorce Wschód;50.74725;16.221222;0;0;0;0;0;0;15;0;0
Boguszów Gorce Zachód;50.761917;16.168444;0;2;0;0;0;0;17;0;0
Bojanowo;51.699581;16.745469;0;0;0;0;0;0;20;0;0
Bojary;53.028472;22.950833;0;0;0;0;0;0;10;0;0
Boksycka;50.950278;21.322222;0;0;0;0;0;0;18;0;0
Bolechowo;52.539722;16.978611;0;0;0;16;0;0;0;0;0
Boleszkowice;52.738586;14.517767;0;0;0;0;0;0;9;0;0
Boles³awice Œwidnickie;50.888497;16.464011;0;10;0;0;0;0;0;0;0
Boles³awiec;51.266225;15.571306;0;21;0;0;0;2;6;0;0
Boreczek;50.878994;17.024722;0;0;0;0;0;0;20;0;0
Borki Kosy;52.088056;22.359167;0;0;20;0;0;0;0;0;0
Borkowice;50.932606;18.157889;0;0;0;0;0;0;10;0;0
Borkowo;54.333056;18.333333;0;0;0;0;0;0;17;0;0
Boronów;50.666111;18.900833;0;0;0;0;8;0;0;0;0
Borowa Oleœnicka;51.184225;17.276719;0;0;0;0;0;0;35;0;0
Borowiki;52.482042;23.214894;0;0;6;0;0;0;2;0;0
Borowina;51.828889;22.281111;0;0;0;0;0;0;9;0;0
Borsukówka;53.227139;22.930556;0;0;0;0;0;0;6;0;0
Borszewice;51.61;19.034444;0;0;0;0;0;0;30;0;0
Boszkowo;51.960664;16.335597;0;0;0;10;0;0;0;0;0
Bo¿a Wola;52.189444;20.528333;0;0;42;0;0;0;0;0;0
Bo¿epole Wielkie;54.568261;17.970306;0;0;0;0;0;1;0;20;0
Bo¿¹cin;51.7356468;17.4266912;0;0;0;0;0;0;6;0;0
Brachlewo;53.802494;18.96105;0;0;0;0;0;0;10;0;0
Braniewo;54.3811;19.842167;0;0;0;0;0;0;2;0;0
Bratków;51.454167;20.115833;0;0;0;0;0;0;3;0;0
Bratoszewice;51.937;19.647861;0;0;0;0;0;0;6;0;0
Brest Centralny;52.100838;23.680937;0;0;0;0;0;3;3;0;0
Brochocin Trzebnicki;51.275556;17.094722;0;14;0;0;0;0;0;0;0
Brodnica;53.263889;19.405556;9;0;0;0;0;0;0;0;0
Brody I³zeckie;51.021584;21.215272;0;0;0;0;0;0;18;0;0
Brody Warszawskie;52.513611;20.747778;0;0;38;0;0;0;0;0;0
Brokêcino;53.562494;16.817719;0;0;0;0;0;0;9;0;0
Bronów;51.796389;17.773333;0;0;0;0;0;0;20;0;0
Bronów PODG;49.877639;18.921389;0;0;0;0;4;0;0;0;0
Brusy;53.882444;17.727781;0;0;0;0;0;0;5;0;0
Brwinów;52.141944;20.717778;0;0;54;0;0;0;0;0;0
Brzeg;50.853358;17.470747;0;0;0;0;0;16;32;0;0
Brzeg Dolny;51.266608;16.725881;0;0;0;0;0;2;22;0;0
