R2;;;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2
115,76;Krynka Łukowska;o p;;;19:07;;;;19:48;;;;;20:31
123,53;Łuków;;;;19:12;;;;19:53;;;;;20:37
Do stacji : ;;;;;;;;;;;;;;
[4]   kursuje do 18.X oprócz 12-13.X LEGENDA :;;;;;;;;;;;;;;
(B) kursuje od poniedziałku do piątku oraz w niedziele;;;;;;;;;;;;;;
(D) kursuje od poniedziałku do piątku oprócz świąt UWAGI :;;;;;;;;;;;;;;
R2;;;RE2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2
Warszawa - Łuków ważny od 15.IX do 19.X;;;19233;21844/5;10469;19881;19883 (B);19885;19885;1 120 519 815;19207;19887;19893;19889
Km Od stacji : ;;;(B) [1];(D);;;;[2];[3];99207;19815;;;[4]
;;;;;;;;;;[2];[3];;;
;;;;CZACHÓWEK PŁD.;;;;;;;;;;
0;Warszawa Zachodnia Warszawa Ochota;o o;18:58 <;19:05;;19:39;20:05;20:39;20:39;21:05;21:20;21:39;22:39;23:39
2,175;;;;19:09;;19:43;20:09;20:43;20:43;21:09;21:24;21:43;22:43;23:43
3,082;Warszawa Śródmieście;o;< ;19:12;;19:46;20:12;20:46;20:46;21:12;21:27;21:46;22:46;23:46
3,082;Warszawa Centralna;p;19:02;< ;;< ;< ;< ;< ;< ;< ;< ;< ;< 
;;o;19:05;< ;;< ;< ;< ;< ;< ;< ;< ;< ;< 
4,872;Warszawa Powiśle Warszawa Stadion;o o;< ;19:15;;19:49;20:15;20:49;20:49;21:15;21:30;21:49;22:49;23:49
6,278;;;< ;19:17;;19:51;20:17;20:51;20:51;21:17;21:32;21:51;22:51;23:51
7,336;Warszawa Wschodnia;p;19:11;19:19;;19:53;20:19;20:53;20:53;21:19;21:34;21:53;22:53;23:53
;;o;19:13;19:20;;19:54;20:20;21:00;20:54;21:20;21:35;21:54;22:54;23:54
14,835;Warszawa Rembertów;p;|;19:27;;20:00;20:27;21:07;21:00;21:27;21:41;22:00;23:01;00:01
;;o;|;19:28;;20:01;20:28;21:10;21:01;21:32;21:42;22:01;23:02;00:02
19,467;W-wa Wesoła;o o;|;19:32;;20:05;20:32;21:14;21:05;21:36;21:46;22:05;23:06;00:06
21,265;W-wa Wola Grzybowska;;|;19:34;;20:08;20:35;21:16;21:08;21:38;21:49;22:08;23:08;00:09
23,071;Sulejówek;o;|;19:37;;20:10;20:37;21:19;21:10;21:41;21:51;22:10;23:11;00:11
24,649;Sulejówek Miłosna;p;|;19:39;;20:12;20:39;21:20;21:12;21:43;21:53;22:12;23:12;00:13
;;o;|;19:39;;20:12;20:40;21:21;21:12;21:43;21:54;22:12;23:13;00:14
28,746;Halinów Cisie;o o;19:27;19:43;;20:16;20:43;21:24;21:16;21:47;21:57;22:16;23:16;00:17
31,895;;;|;19:46;;20:19;20:46;21:27;21:19;21:50;22:00;22:19;23:19;00:20
34,433;Dębe Wielkie;o o;|;19:49;;20:21;20:49;21:30;21:21;21:53;22:03;22:21;23:22;00:23
35,743;Nowe Dębe Wielkie;;|;19:51;;20:23;20:51;21:32;21:23;21:55;22:05;22:23;23:24;00:25
38,882;Wrzosów;o;|;19:54;;20:26;20:54;21:35;21:26;21:58;22:08;22:26;23:27;00:28
43,677;Mińsk Maz.;p;19:35;19:58;;20:30;20:58;21:38;21:30;22:02;22:12;22:30;23:30;00:32
;;o;19:36;19:59;;20:31;20:59;21:49;21:31; ; ;22:31;23:31;00:33
46,169;Mińsk Maz. Anielina Barcząca;o o;|;20:02;;20:33;21:02;21:51;21:33;;;22:33;23:34;00:36
49,225;;;|;20:05;;20:36;21:05;21:54;21:36;;;22:36;23:37;00:39
53,486;Mienia Cegłów;o o;|;20:08;;20:40;21:09;21:58;21:40;;;22:40;23:41;00:43
56,866;;;19:44;20:12;;20:43;21:12;22:01;21:43;;;22:43;23:44;00:46
61,767;Mrozy;p;19:47;20:16;;20:46;21:16;22:04;21:46;;;22:46;23:47;00:50
66,876;Grodziszcze Maz.;o o;19:48; ;;20:47;21:16;22:05;21:47;;;22:47;23:48;00:50
;;;|;;;20:51;21:20;22:09;21:51;;;22:51;23:52;00:54
71,847;Sosnowe Koszewnica;o o;|;;;20:55;21:24;22:13;21:55;;;22:55;23:56;00:58
75,251;;;|;;;20:58;21:27;22:16;21:58;;;22:58;23:59;01:01
80,51;Kotuń Sabinka;o o;19:59;;;21:02;21:31;22:20;22:02;;;23:02;00:03;01:05
88,427;;;|;;;21:07;21:37;22:25;22:07;;;23:07;00:08;01:11
92,945;Siedlce Zach.;o;20:06;;;21:10;21:41;22:28;22:10;;;23:10;00:11;01:15
95,776;Siedlce;p;20:08;; ;21:13;21:44;22:31;22:13;;;23:13;00:14;01:18
;;o;20:09;;21:18; ; ; ; ;;; ;00:15; 
98,496;Siedlce Wschodnie;o o;20:12;;21:21;;;;;;;;00:18;
100,417;Białki Siedleckie;;20:15;;21:24;;;;;;;;00:20;
103,415;Kosiorki;o o;20:18;;21:27;;;;;;;;00:23;
105,962;Borki Kosy;;20:21;;21:30;;;;;;;;00:26;
110,404;Dziewule Radomyśl;o o;20:25;;21:34;;;;;;;;00:29;
113,036;;;20:28;;21:37;;;;;;;;00:32;
115,76;Krynka Łukowska;o p;20:31;;21:40;;;;;;;;00:35;
123,53;Łuków;;20:37;;21:45;;;;;;;;00:40;
Do stacji : ;;;;;;;;;;;;;;
[1];kursuje 30.IX-11.X w (B) LEGENDA :;;;;;;;;;;;;;
(B) kursuje od poniedziałku do piątku oraz w niedziele;;;;;;;;;;;;;;
(D) kursuje od poniedziałku do piątku oprócz świąt UWAGI :;;;;;;;;;;;;;;
"[1]   kursuje do 29.IX w (B); od 13.X w (B)";;;;;;;;;;;;;;
"[2]   kursuje do 27.IX; od 11.X";;;;;;;;;;;;;;
[3]   kursuje 28.IX-10.X;;;;;;;;;;;;;;
[4]   kursuje 19.X;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
R2;;;R2;;;;;;;;;;;
Warszawa - Łuków ważny od 15.IX do 19.X;;;19889;;;;;;;;;;;
Km Od stacji : ;;;[1];;;;;;;;;;;
;;;;;;;;;;;;;;
0;Warszawa Zachodnia Warszawa Ochota;o o;23:39;;;;;;;;;;;
2,175;;;23:43;;;;;;;;;;;
3,082;Warszawa Śródmieście;o;23:46;;;;;;;;;;;
3,082;Warszawa Centralna;p;< ;;;;;;;;;;;
;;o;< ;;;;;;;;;;;
4,872;Warszawa Powiśle Warszawa Stadion;o o;23:49;;;;;;;;;;;
6,278;;;23:51;;;;;;;;;;;
7,336;Warszawa Wschodnia;p;23:53;;;;;;;;;;;
;;o;23:54;;;;;;;;;;;
14,835;Warszawa Rembertów;p;00:01;;;;;;;;;;;
;;o;00:03;;;;;;;;;;;
19,467;W-wa Wesoła;o o;00:07;;;;;;;;;;;
21,265;W-wa Wola Grzybowska;;00:10;;;;;;;;;;;
23,071;Sulejówek;o;00:12;;;;;;;;;;;
24,649;Sulejówek Miłosna;p;00:14;;;;;;;;;;;
;;o;00:15;;;;;;;;;;;
28,746;Halinów Cisie;o o;00:18;;;;;;;;;;;
31,895;;;00:21;;;;;;;;;;;
34,433;Dębe Wielkie;o o;00:24;;;;;;;;;;;
35,743;Nowe Dębe Wielkie;;00:26;;;;;;;;;;;
38,882;Wrzosów;o;00:29;;;;;;;;;;;
43,677;Mińsk Maz.;p;00:33;;;;;;;;;;;
;;o;00:34;;;;;;;;;;;
46,169;Mińsk Maz. Anielina Barcząca;o o;00:37;;;;;;;;;;;
49,225;;;00:40;;;;;;;;;;;
53,486;Mienia Cegłów;o o;00:44;;;;;;;;;;;
56,866;;;00:47;;;;;;;;;;;
61,767;Mrozy;p;00:51;;;;;;;;;;;
66,876;Grodziszcze Maz.;o o;00:51;;;;;;;;;;;
;;;00:56;;;;;;;;;;;
71,847;Sosnowe Koszewnica;o o;01:00;;;;;;;;;;;
75,251;;;01:03;;;;;;;;;;;
80,51;Kotuń Sabinka;o o;01:07;;;;;;;;;;;
88,427;;;01:13;;;;;;;;;;;
92,945;Siedlce Zach.;o;01:17;;;;;;;;;;;
95,776;Siedlce;p;01:20;;;;;;;;;;;
;;o; ;;;;;;;;;;;
98,496;Siedlce Wschodnie;o o;;;;;;;;;;;;
100,417;Białki Siedleckie;;;;;;;;;;;;;
103,415;Kosiorki;o o;;;;;;;;;;;;
105,962;Borki Kosy;;;;;;;;;;;;;
110,404;Dziewule Radomyśl;o o;;;;;;;;;;;;
113,036;;;;;;;;;;;;;;
115,76;Krynka Łukowska;o p;;;;;;;;;;;;
123,53;Łuków;;;;;;;;;;;;;
Do stacji : ;;;;;;;;;;;;;;
UWAGI : [1];kursuje do 18.X;;;;;;;;;;;;;
;;;;;;;;;;;;;;
R2;;;R2;R1;R2;R2;R3;R8;R2;RE8;R3;R2;R1;RE2
Łuków - Warszawa ważny od 15.IX do 19.X;;;91850/1;93330/1;91852 (C);91890 (D);93450/1;12800/1;91800/1;91230/1;91800/1;91854/5;93340/1;21202/3
Km Od stacji : ;;;;(D);;;(D);(D);(E) [1];(E);(D) [2];(C);(D);[3]
;;;;;;;;;;;;;;Dęblin
0;Łuków;o o;;;;04:19;;;;04:44;;;;
7,77;Krynka Łukowska;;;;;04:24;;;;04:50;;;;
10,494;Radomyśl Dziewule;o o;;;;04:27;;;;04:53;;;;
13,126;;;;;;04:30;;;;04:56;;;;
17,568;Borki Kosy Kosiorki;o o;;;;04:33;;;;04:59;;;;
20,115;;;;;;04:36;;;;05:02;;;;
23,113;Białki Siedleckie;o o;;;;04:39;;;;05:05;;;;
25,034;Siedlce Wschodnie;;;;;04:41;;;;05:08;;;;
27,754;Siedlce;p; ;; ;04:44;;;;05:11;; ; ;
30,585;Siedlce Zach.;o o;03:30;;04:45;04:45;;;;05:13;;05:16;05:16;
;;;03:33;;04:48;04:48;;;;05:16;;05:19;05:19;
35,103;Sabinka Kotuń;o o;03:36;;04:51;04:51;;;;|;;05:23;05:23;
43,02;;;03:42;;04:57;04:57;;;;05:23;;05:29;05:29;
48,279;Koszewnica Sosnowe;o o;03:46;;05:01;05:01;;;;|;;05:33;05:33;
51,683;;;03:49;;05:04;05:04;;;;|;;05:36;05:36;
56,654;Grodziszcze Maz.;o;03:53;;05:08;05:08;;;;|;;05:40;05:40;
61,763;Mrozy;p;03:57; ;05:12;05:12;;;;05:33;;05:44;05:44;
;;o;03:57;04:43;05:12;05:12;;;;05:34;;05:44;05:44;
66,664;Cegłów Mienia;o o;04:02;04:47;05:17;05:17;;;;05:39;;05:49;05:49;
70,044;;;04:05;04:51;05:20;05:20;;;;|;;05:52;05:52;
74,305;Barcząca;o o;04:08;04:55;05:23;05:23;;;;|;;05:56;05:56;
77,361;Mińsk Maz. Anielina;;04:11;04:58;05:26;05:26;;;;|;;05:59;05:59;
79,853;Mińsk Maz.;p;04:13;05:00;05:28;05:28;; ; ;05:46; ;06:01;06:01;
84,648;Wrzosów;o o;04:14;05:01;05:29;05:29;;05:37;05:54;05:47;05:54;06:02;06:02;|
;;;04:19;05:06;05:34;05:34;;05:41;05:59;|;05:59;06:07;06:07;
87,787;Nowe Dębe Wielkie Dębe Wielkie;o o;04:22;05:09;05:37;05:37;;05:44;06:02;|;06:02;06:10;06:10;|
89,097;;;04:24;05:11;05:39;05:39;;05:46;06:04;|;06:04;06:12;06:12;|
91,635;Cisie;o o;04:26;05:14;05:41;05:41;;05:49;06:07;|;06:07;06:15;06:15;|
94,784;Halinów;;04:29;05:17;05:44;05:44;;05:52;06:10;05:55;06:10;06:18;06:18;|
98,881;Sulejówek Miłosna;p;04:32;05:20;05:47;05:47;;05:55;06:13;|;06:13;06:21;06:21;06:29
100,459;Sulejówek;o o;04:33;05:20;05:48;05:48;;06:02;06:14;|;06:14;06:21;06:21;06:30
;;;04:35;05:23;05:50;05:50;;06:04;06:16;|;06:16;06:24;06:24;|
102,265;W-wa Wola Grzybowska W-wa Wesoła;o o;04:37;05:25;05:52;05:52;;06:07;06:19;|;06:19;06:26;06:26;|
104,063;;;04:40;05:28;05:54;05:54;;06:09;06:21;|;06:21;06:29;06:29;|
108,695;Warszawa Rembertów;p;04:43;05:31;05:58;05:58; ;06:13;06:25;|;06:25;06:32;06:32;|
;;o;04:44;05:32;05:59;05:59;06:06;06:14;06:26;|;06:26;06:33;06:33;|
116,194;Warszawa Wschodnia;p;04:50;05:39;06:05;06:05;06:13;06:20;06:32;06:10;06:32;06:39;06:39;06:43
;;o;04:51;05:40;06:06;06:06;06:14;06:21;06:33;06:14;06:33;06:40;06:40;06:44
117,252;Warszawa Stadion Warszawa Powiśle;o o;04:54;05:42;06:09;06:09;06:16;06:24;06:35;< ;06:35;06:43;06:43;06:47
118,658;;;04:56;05:45;06:11;06:11;06:19;06:26;06:38;< ;06:38;06:45;06:45;06:49
120,448;Warszawa Śródmieście;o;05:00;05:49;06:15;06:15;06:23;06:30;06:42;< ;06:42;06:49;06:49;06:53
120,448;Warszawa Centralna;p;< ;< ;< ;< ;< ;< ;< ;06:20;< ;< ;< ;< 
;;o;< ;< ;< ;< ;< ;< ;< ;06:23;< ;< ;< ;< 
121,355;Warszawa Ochota;o p;05:03;05:52;06:18;06:18;06:26;06:33;06:45;< 06:27;06:45;06:52;06:52;06:56
123,53;Warszawa Zachodnia;;05:06;05:55;06:21;06:21;06:29;06:36;06:48;;06:48;06:55;06:55;06:59
Do stacji : ;;;;GRODZISK MAZ.;;;Sochaczew;Radom;;Piaseczno;Błonie;;GRODZISK MAZ.;
LEGENDA :;;;;;;;;;;;;;;
(C)            kursuje w soboty, niedziele i święta;;;;;;;;;;;;;;
(D)            kursuje od poniedziałku do piątku oprócz świąt;;;;;;;;;;;;;;
R2;;;R2;R2;R3;91232/3;R3;R2;R8;R2;R2;R3;R2;RE2
Łuków - Warszawa ważny od 15.IX do 19.X;;;91856/7;91892 (C);93400/1;ŁUKOWIANKA;93400/1;91802/3;93900/1;11850 (D);91858;93460/1;93460/1;12890/1
Km Od stacji : ;;;(D);;(D) [1];(E);(D) [2];;(D);;;(D) [3];(D) [4];(E)
;;;;;;;;;;;;;;
0;Łuków;o o;;05:15;;05:33;;;;06:00;;;;06:41
7,77;Krynka Łukowska;;;05:20;;05:39;;;;06:06;;;;06:47
10,494;Radomyśl Dziewule;o o;;05:23;;05:42;;;;06:09;;;;06:50
13,126;;;;05:26;;05:45;;;;06:12;;;;06:53
17,568;Borki Kosy Kosiorki;o o;;05:29;;05:49;;;;06:16;;;;06:57
20,115;;;;05:32;;05:52;;;;06:19;;;;07:00
23,113;Białki Siedleckie;o o;;05:35;;05:56;;;;06:22;;;;07:03
25,034;Siedlce Wschodnie;;;05:37;;05:59;;;;06:24;;;;07:05
27,754;Siedlce;p; ;05:40;;06:02;;;;06:27; ;;;07:08
30,585;Siedlce Zach.;o o;05:41;05:41;;06:04;;;; ;06:36;;;07:09
;;;05:44;05:44;;06:07;;;;;06:39;;;07:12
35,103;Sabinka Kotuń;o o;05:47;05:47;;|;;;;;06:42;;;|
43,02;;;05:53;05:53;;06:15;;;;;06:47;;;07:20
48,279;Koszewnica Sosnowe;o o;05:57;05:57;;|;;;;;06:51;;;|
51,683;;;06:00;06:00;;|;;;;;06:54;;;|
56,654;Grodziszcze Maz.;o;06:04;06:04;;|;;;;;06:58;;;|
61,763;Mrozy;p;06:08;06:08;;06:24;;; ;;07:02;;;07:32
;;o;06:08;06:08;;06:25;;;06:44;;07:03;;;07:32
66,664;Cegłów Mienia;o o;06:13;06:13;;06:30;;;06:48;;07:07;;;07:37
70,044;;;06:16;06:16;;|;;;06:52;;07:10;;;|
74,305;Barcząca;o o;06:19;06:19;;|;;;06:56;;07:14;;;|
77,361;Mińsk Maz. Anielina;;06:22;06:22;;|;;;06:59;;07:17;;;07:44
79,853;Mińsk Maz.;p;06:24;06:24;;06:38;; ;07:01;;07:19; ; ;07:47
84,648;Wrzosów;o o;06:25;06:25;;06:39;;06:47;07:02;;07:29;07:35;07:35;07:48
;;;06:30;06:30;;|;;06:52;07:07;;07:33;07:39;07:39;|
87,787;Nowe Dębe Wielkie Dębe Wielkie;o o;06:33;06:33;;|;;06:55;07:10;;07:36;07:42;07:42;|
89,097;;;06:35;06:35;;|;;06:57;07:12;;07:38;07:44;07:44;|
91,635;Cisie;o o;06:37;06:37;;|;;06:59;07:14;;07:41;07:47;07:47;|
94,784;Halinów;;06:40;06:40;;06:47;;07:03;07:18;;07:44;07:50;07:50;07:58
98,881;Sulejówek Miłosna;p;06:43;06:43;;|;;07:06;07:21;;07:47;07:53;07:53;08:02
100,459;Sulejówek;o o;06:44;06:44;;|;;07:06;07:21;;07:48;07:54;07:54;08:02
;;;06:46;06:46;;|;;07:09;07:24;;07:50;07:56;07:56;|
102,265;W-wa Wola Grzybowska W-wa Wesoła;o o;06:48;06:48;;|;;07:11;07:26;;07:52;07:59;07:59;|
104,063;;;06:51;06:51;;|;;07:14;07:29;;07:55;08:01;08:01;|
108,695;Warszawa Rembertów;p;06:54;06:54; ;|; ;07:17;07:32;;07:58;08:05;08:05;08:09
;;o;06:55;06:55;07:06;|;07:06;07:18;07:33;;07:59;08:06;08:06;08:10
116,194;Warszawa Wschodnia;p;07:05;07:05;07:13;07:07;07:13;07:24;07:39;;08:05;08:12;08:12;08:16
;;o;07:06;07:06;07:14;07:09;07:14;07:25;07:40;;08:06;08:14;08:14;08:25
117,252;Warszawa Stadion Warszawa Powiśle;o o;07:09;07:09;07:16;< ;07:16;07:28;07:43;;08:09;08:16;08:16;08:28
118,658;;;07:11;07:11;07:19;< ;07:19;07:30;07:45;;08:11;08:19;08:19;08:30
120,448;Warszawa Śródmieście;o;07:15;07:15;07:23;< ;07:23;07:34;07:49;;08:15;08:23;08:23;08:34
120,448;Warszawa Centralna;p;< ;< ;< ;07:15;< ;< ;< ;;< ;< ;< ;< 
;;o;< ;< ;< ;07:16;< ;< ;< ;;< ;< ;< ;< 
121,355;Warszawa Ochota;o p;07:18;07:18;07:26;< 07:20;07:26;07:37;07:52;;08:18;08:26;08:26;08:37
123,53;Warszawa Zachodnia;;07:21;07:21;07:29;;07:29;07:40;07:55;;08:21;08:29;08:29;08:40
Do stacji : ;;;;;Łowicz Główny;WARSZAWA SŁUŻEW.;Łowicz Główny;;Radom;;;Sochaczew;;
(E)            kursuje od poniedziałku do soboty oprócz świątkursuje od 21.IX w (E) oprócz 23-27.IX kursuje do 27.IX w (D) kursuje przez Sulejówek Miłosna LEGENDA :;;;;;;;;;;;;;;
(C) kursuje w soboty, niedziele i święta;;;;;;;;;;;;;;
(D) kursuje od poniedziałku do piątku oprócz świąt;;;;;;;;;;;;;;
(E) kursuje od poniedziałku do soboty oprócz świątUWAGI :;;;;;;;;;;;;;;
[1]   kursuje od 30.IX w (D);;;;;;;;;;;;;;
[2]   kursuje do 27.IX w (D);;;;;;;;;;;;;;
[3]   kursuje 30.IX-10.X w (D);;;;;;;;;;;;;;
R2;;;R2;R2;R2;R8;R2;11822;RE2;R2;R3;R2;R2;R2
Łuków - Warszawa ważny od 15.IX do 19.X;;;91840/1;91804/5;11852;93942/3;91860;;91220/1;91806/7;93490/1;93490/1;91862;91808/9
Km Od stacji : ;;;(D);(C);[1];(D);;;(D);;(D) [2];(D) [3];91862/3;
;;;;;;;;Terespol;;;;;;
0;Łuków;o o;;;07:03;;;07:26;;;;;;
7,77;Krynka Łukowska;;;;07:09;;;07:32;;;;;;
10,494;Radomyśl Dziewule;o o;;;07:12;;;07:35;;;;;;
13,126;;;;;07:15;;;07:38;;;;;;
17,568;Borki Kosy Kosiorki;o o;;;07:19;;;07:42;;;;;;
20,115;;;;;07:22;;;07:45;;;;;;
23,113;Białki Siedleckie;o o;;;07:25;;;07:48;;;;;;
25,034;Siedlce Wschodnie;;;;07:27;;;07:51;;;;;;
27,754;Siedlce;p;;;07:30;; ;07:54; ;;;; ;
30,585;Siedlce Zach.;o o;;; ;;07:45; ;08:18;;;;08:45;
;;;;;;;07:48;;08:21;;;;08:48;
35,103;Sabinka Kotuń;o o;;;;;07:51;;|;;;;08:51;
43,02;;;;;;;07:57;;08:29;;;;08:57;
48,279;Koszewnica Sosnowe;o o;;;;;08:01;;|;;;;09:01;
51,683;;;;;;;08:04;;|;;;;09:04;
56,654;Grodziszcze Maz.;o;;;;;08:08;;|;;;;09:08;
61,763;Mrozy;p; ;;;;08:12;;08:38;;;;09:12;
;;o;07:44;;;;08:12;;08:39;;;;09:12;
66,664;Cegłów Mienia;o o;07:48;;;;08:17;;08:44;;;;09:17;
70,044;;;07:52;;;;08:20;;|;;;;09:20;
74,305;Barcząca;o o;07:56;;;;08:23;;|;;;;09:23;
77,361;Mińsk Maz. Anielina;;07:58;;;;08:26;;|;;;;09:26;
79,853;Mińsk Maz.;p;08:01; ;;;08:28;;08:51; ;;;09:28; 
84,648;Wrzosów;o o;08:02;08:02;;;08:29;;08:52;08:55;;;09:29;10:02
;;;08:06;08:06;;;08:33;;|;08:59;;;09:34;10:06
87,787;Nowe Dębe Wielkie Dębe Wielkie;o o;08:09;08:09;;;08:36;;|;09:02;;;09:37;10:09
89,097;;;08:11;08:11;;;08:38;;|;09:04;;;09:39;10:11
91,635;Cisie;o o;08:14;08:14;;;08:41;;|;09:07;;;09:41;10:13
94,784;Halinów;;08:17;08:17;;;08:44;;09:00;09:10;;;09:44;10:17
98,881;Sulejówek Miłosna;p;08:20;08:20;;;08:47;;|;09:13;;;09:47;10:20
100,459;Sulejówek;o o;08:21;08:21;;;08:48;;|;09:14;;;09:48;10:20
;;;08:23;08:23;;;08:50;;|;09:16;;;09:50;10:23
102,265;W-wa Wola Grzybowska W-wa Wesoła;o o;08:26;08:26;;;08:52;;|;09:19;;;09:52;10:25
104,063;;;08:28;08:28;;;08:55;;|;09:21;;;09:55;10:28
108,695;Warszawa Rembertów;p;08:32;08:32;; ;08:58;;|;09:25; ; ;09:58;10:31
;;o;08:33;08:33;;08:43;08:59;;|;09:26;09:36;09:36;09:59;10:32
116,194;Warszawa Wschodnia;p;08:39;08:39;;08:50;09:05;;09:17;09:32;09:42;09:42;10:05;10:39
;;o;08:40;08:40;;08:51;09:06;;09:19;09:33;09:44;09:44;10:06;10:40
117,252;Warszawa Stadion Warszawa Powiśle;o o;08:42;08:42;;08:54;09:09;;< ;09:35;09:46;09:46;10:09;10:43
118,658;;;08:45;08:45;;08:56;09:11;;< ;09:38;09:49;09:49;10:11;10:45
120,448;Warszawa Śródmieście;o;08:49;08:49;;09:00;09:15;;< ;09:42;09:53;09:53;10:15;10:49
120,448;Warszawa Centralna;p;< ;< ;;< ;< ;;09:25;< ;< ;< ;< ;< 
;;o;< ;< ;;< ;< ;;09:35;< ;< ;< ;< ;< 
121,355;Warszawa Ochota;o p;08:52;08:52;;09:03;09:18;;< 09:39;09:45;09:56;09:56;10:18;10:52
123,53;Warszawa Zachodnia;;08:55;08:55;;09:06;09:21;;;09:48;09:59;09:59;10:21;10:55
Do stacji : ;;;;;;Piaseczno;;;;;Błonie;;;
"[4]   kursuje do 27.IX w (D); od 11.X w (D) LEGENDA :";;;;;;;;;;;;;;
(C) kursuje w soboty, niedziele i święta;;;;;;;;;;;;;;
"(D) kursuje od poniedziałku do piątku oprócz świątKolorem niebieskim oznaczono poc. spółki Przewozy Regionalne. kursuje w (7) kursuje do 27.IX w (D); od 11.X w (D) kursuje 30.IX-10.X w (D)";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
LEGENDA :;;;;;;;;;;;;;;
R2;;;R2;R2;91250 CZEREMSZAK;R2;11826;R2;R2;R8;R2;R2;R2;R2
Łuków - Warszawa ważny od 15.IX do 19.X;;;11854 (D);91864;;91810/1;;91866/7;11856;91812/3;91812/3;91868;91814;91870/1
Km Od stacji : ;;;;;;(D);;;;(D) [1];(D) [2];;91814/5;
;;;;;;;;;;;;;(D);
;;;;;Czeremcha;;Terespol;;;;;;;
0;Łuków;o o;09:03;;;;10:08;;10:58;;;;;
7,77;Krynka Łukowska;;09:09;;;;10:14;;11:04;;;;;
10,494;Radomyśl Dziewule;o o;09:12;;;;10:17;;11:07;;;;;
13,126;;;09:15;;;;10:20;;11:10;;;;;
17,568;Borki Kosy Kosiorki;o o;09:19;;;;10:24;;11:14;;;;;
20,115;;;09:22;;;;10:27;;11:17;;;;;
23,113;Białki Siedleckie;o o;09:25;;;;10:30;;11:20;;;;;
25,034;Siedlce Wschodnie;;09:27;;;;10:33;;11:22;;;;;
27,754;Siedlce;p;09:30; ;10:09;;10:36; ;11:25;;; ;; 
30,585;Siedlce Zach.;o o; ;09:35;10:12;; ;10:41; ;;;11:45;;12:45
;;;;09:38;10:15;;;10:44;;;;11:48;;12:48
35,103;Sabinka Kotuń;o o;;09:41;|;;;10:47;;;;11:51;;12:51
43,02;;;;09:46;10:24;;;10:53;;;;11:57;;12:57
48,279;Koszewnica Sosnowe;o o;;09:50;|;;;10:57;;;;12:01;;13:01
51,683;;;;09:53;|;;;11:00;;;;12:04;;13:04
56,654;Grodziszcze Maz.;o;;09:57;|;;;11:04;;;;12:08;;13:08
61,763;Mrozy;p;;10:01;10:35;;;11:08;;;;12:12;;13:12
;;o;;10:09;10:36;;;11:08;;;;12:12;;13:12
66,664;Cegłów Mienia;o o;;10:13;10:41;;;11:13;;;;12:17;;13:17
70,044;;;;10:16;|;;;11:16;;;;12:20;;13:20
74,305;Barcząca;o o;;10:20;|;;;11:19;;;;12:23;;13:23
77,361;Mińsk Maz. Anielina;;;10:23;10:49;;;11:22;;;;12:26;;13:26
79,853;Mińsk Maz.;p;;10:25;10:51; ;;11:24;; ; ;12:28; ;13:28
84,648;Wrzosów;o o;;10:26;10:52;11:02;;11:32;;12:10;12:10;12:29;13:02;13:29
;;;;10:30;|;11:07;;11:36;;12:14;12:14;12:34;13:07;13:34
87,787;Nowe Dębe Wielkie Dębe Wielkie;o o;;10:33;|;11:10;;11:39;;12:17;12:17;12:37;13:10;13:37
89,097;;;;10:35;|;11:12;;11:41;;12:19;12:19;12:39;13:12;13:39
91,635;Cisie;o o;;10:38;|;11:14;;11:44;;12:22;12:22;12:41;13:14;13:41
94,784;Halinów;;;10:41;11:02;11:18;;11:47;;12:25;12:25;12:44;13:18;13:44
98,881;Sulejówek Miłosna;p;;10:44;|;11:21;;11:50;;12:28;12:28;12:47;13:21;13:47
100,459;Sulejówek;o o;;10:44;|;11:21;;11:50;;12:29;12:29;12:48;13:21;13:48
;;;;10:46;|;11:24;;11:52;;12:31;12:31;12:50;13:24;13:50
102,265;W-wa Wola Grzybowska W-wa Wesoła;o o;;10:49;|;11:26;;11:55;;12:34;12:34;12:52;13:26;13:52
104,063;;;;10:51;|;11:29;;11:57;;12:36;12:36;12:55;13:29;13:55
108,695;Warszawa Rembertów;p;;10:55;11:12;11:32;;12:01;;12:40;12:40;12:58;13:32;13:58
;;o;;10:56;11:16;11:33;;12:02;;12:41;12:41;12:59;13:33;13:59
116,194;Warszawa Wschodnia;p;;11:05;11:23;11:39;;12:08;;12:50;12:50;13:05;13:39;14:05
;;o;;11:06; ;11:40;;12:10;;12:51;12:51;13:06;13:40;14:06
117,252;Warszawa Stadion Warszawa Powiśle;o o;;11:09;;11:43;;12:13;;12:54;12:54;13:09;13:43;14:09
118,658;;;;11:11;;11:45;;12:15;;12:56;12:56;13:11;13:45;14:11
120,448;Warszawa Śródmieście;o;;11:15;;11:49;;12:19;;13:00;13:00;13:15;13:49;14:15
120,448;Warszawa Centralna;p;;< ;;< ;;< ;;< ;< ;< ;< ;< 
;;o;;< ;;< ;;< ;;< ;< ;< ;< ;< 
121,355;Warszawa Ochota;o p;;11:18;;11:52;;12:22;;13:03;13:03;13:18;13:52;14:18
