R2;;;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2
;;o;|; ; ;07:01;;07:29;07:29; ;07:58;08:28; ;09:01
19,467;W-wa Wesoła;o o;|;;;07:05;;07:33;07:33;;08:02;08:32;;09:05
21,265;W-wa Wola Grzybowska;;|;;;07:08;;07:35;07:35;;08:04;08:35;;09:08
23,071;Sulejówek;o;|;;;07:10;;07:38;07:38;;08:07;08:37;;09:10
24,649;Sulejówek Miłosna;p;|;;;07:12;;07:40;07:40;;08:08;08:39;;09:12
;;o;|;;;07:12;;07:40;07:40;;08:09;08:40;;09:12
28,746;Halinów Cisie;o o;07:04;;;07:16;;07:44;07:44;;08:12;08:43;;09:16
31,895;;;|;;;07:19;;07:47;07:47;;08:15;08:47;;09:19
34,433;Dębe Wielkie;o o;|;;;07:21;;07:50;07:50;;08:18;08:50;;09:21
35,743;Nowe Dębe Wielkie;;|;;;07:23;;07:52;07:52;;08:20;08:52;;09:23
38,882;Wrzosów;o;|;;;07:26;;07:55;07:55;;08:23;08:55;;09:26
43,677;Mińsk Maz.;p;07:16;;;07:30;;07:59;07:59;;08:26;08:59;;09:30
;;o;07:17;;;07:31;; ; ;;08:27; ;;09:31
46,169;Mińsk Maz. Anielina Barcząca;o o;|;;;07:33;;;;;08:30;;;09:33
49,225;;;|;;;07:36;;;;;08:33;;;09:36
53,486;Mienia Cegłów;o o;|;;;07:40;;;;;08:36;;;09:40
56,866;;;07:25;;;07:43;;;;;08:39;;;09:43
61,767;Mrozy;p;07:28;;;07:46;;;;;08:43;;;09:46
66,876;Grodziszcze Maz.;o o;07:29;;;07:47;;;;;08:43;;;09:47
;;;|;;;07:51;;;;;08:47;;;09:51
71,847;Sosnowe Koszewnica;o o;|;;;07:55;;;;;08:51;;;09:55
75,251;;;|;;;07:58;;;;;08:54;;;09:58
80,51;Kotuń Sabinka;o o;07:39;;;08:02;;;;;08:58;;;10:02
88,427;;;|;;;08:07;;;;;09:03;;;10:07
92,945;Siedlce Zach.;o;07:46;;;08:10;;;;;09:07;;;10:10
95,776;Siedlce;p;07:49;;;08:13; ;;;;09:10;;;10:13
;;o; ;;; ;08:26;;;; ;;; 
98,496;Siedlce Wschodnie;o o;;;;;08:29;;;;;;;
100,417;Białki Siedleckie;;;;;;08:32;;;;;;;
103,415;Kosiorki;o o;;;;;08:35;;;;;;;
105,962;Borki Kosy;;;;;;08:38;;;;;;;
110,404;Dziewule Radomyśl;o o;;;;;08:42;;;;;;;
113,036;;;;;;;08:45;;;;;;;
115,76;Krynka Łukowska;o p;;;;;08:48;;;;;;;
123,53;Łuków;;;;;;08:53;;;;;;;
Do stacji : ;;;;;;;;;;;;;;
LEGENDA :;;;;;;;;;;;;;;
(C) kursuje w soboty, niedziele i święta;;;;;;;;;;;;;;
(D) kursuje od poniedziałku do piątku oprócz świątUWAGI :;;;;;;;;;;;;;;
[1]   kursuje do 27.IX w (D);;;;;;;;;;;;;;
